# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	6947
#@/user_id	5130af82-6fd0-4a62-b531-2f7c0e3af40e
a 	啊	c=21 d=9.06571 t=6947
hao qi guai 	好奇怪	c=1 d=0.822835 t=6947
hao wan 	好玩	c=1 d=0.927743 t=6947
hao xi huan 	好喜歡	c=1 d=0.913931 t=6947
hao xiang 	好像	c=8 d=6.0635 t=6947
hao ye 	好耶	c=1 d=0.995012 t=6947
hao yong 	好用	c=1 d=0.985112 t=6947
hao yuan 	好遠	c=1 d=0.985112 t=6947
he 	和	c=45 d=11.4349 t=6947
he 	喝	c=1 d=0.937067 t=6947
he xin 	核心	c=1 d=0.995012 t=6947
he zi 	盒子	c=1 d=1 t=6947
hei 	黑	c=1 d=0.995012 t=6947
hei hei 	嘿嘿	c=1 d=0.985112 t=6947
hei ping 	黑屏	c=2 d=1.54304 t=6947
hen 	很	c=1 d=0.99005 t=6947
hou 	後	c=4 d=2.95625 t=6947
hou tai 	後臺	c=1 d=0.818731 t=6947
hu ge 	虎哥	c=2 d=1.95551 t=6947
hu lian 	互聯	c=1 d=0.913931 t=6947
hua 	化	c=6 d=3.59295 t=6947
hua 	話	c=2 d=1.82581 t=6947
hua fen 	劃分	c=1 d=0.860708 t=6947
hua ti 	話題	c=1 d=0.932394 t=6947
hua wei 	華爲	c=4 d=3.69481 t=6947
hua zhi 	畫質	c=1 d=0.995012 t=6947
huai 	壞	c=2 d=1.63489 t=6947
huai diao 	壞掉	c=1 d=0.97531 t=6947
huai jiu 	懷舊	c=1 d=0.631284 t=6947
huan 	換	c=6 d=4.42527 t=6947
huan 	環	c=1 d=0.321422 t=6947
huan cheng 	換成	c=3 d=2.45993 t=6947
huan chong 	緩衝	c=2 d=1.91285 t=6947
huan cun 	緩存	c=1 d=0.970446 t=6947
huan jing 	環境	c=5 d=3.41987 t=6947
huan shu ju 	換數據	c=1 d=0.782705 t=6947
huang ya 	黃鴨	c=4 d=3.36857 t=6947
hui 	回	c=3 d=2.4946 t=6947
hui 	會	c=13 d=6.20013 t=6947
hui ba 	會把	c=1 d=0.970446 t=6947
hui bu hui 	會不會	c=5 d=3.75101 t=6947
hui da 	回答	c=1 d=0.932394 t=6947
hui fu 	回復	c=2 d=1.62659 t=6947
hui fu 	恢復	c=3 d=2.09995 t=6947
hui lai 	回來	c=1 d=0.856415 t=6947
hui qu 	回去	c=1 d=0.980199 t=6947
hui shi 	回事	c=42 d=15.9774 t=6947
hui yi 	回憶	c=1 d=0.995012 t=6947
hui yi 	會議	c=2 d=1.97025 t=6947
hui ying 	回應	c=3 d=2.63551 t=6947
hui you xie 	會有些	c=1 d=0.985112 t=6947
hun he 	混合	c=4 d=3.8301 t=6947
huo 	或	c=1 d=0.88692 t=6947
huo qu 	獲取	c=4 d=2.51554 t=6947
huo xing 	火星	c=8 d=4.78442 t=6947
ji 	級	c=15 d=6.86491 t=6947
ji ben 	基本	c=3 d=1.22857 t=6947
ji bie 	級別	c=6 d=4.41513 t=6947
ji chang 	機場	c=1 d=0.937067 t=6947
ji cheng 	集成	c=1 d=0.752014 t=6947
ji cheng xian ka 	集成顯卡	c=2 d=1.66472 t=6947
ji chu 	基礎	c=7 d=4.76303 t=6947
ji de 	記得	c=1 d=0.941765 t=6947
ji di 	極低	c=1 d=0.99005 t=6947
ji fang 	機房	c=2 d=1.30918 t=6947
ji gou 	機構	c=1 d=0.771052 t=6947
ji hua 	計劃	c=3 d=1.80966 t=6947
ji hui 	機會	c=1 d=0.955997 t=6947
ji ke 	即可	c=1 d=0.839457 t=6947
ji lu 	記錄	c=3 d=1.68325 t=6947
ji mi 	機密	c=1 d=0.946485 t=6947
ji neng 	技能	c=1 d=0.869358 t=6947
ji ou 	奇偶	c=0 d=0.0869358 t=6947
ji pin 	極品	c=2 d=1.95064 t=6947
ji shu 	技術	c=8 d=5.34634 t=6947
ji suan 	計算	c=3 d=1.54502 t=6947
ji suan ji 	計算機	c=3 d=2.36426 t=6947
ji tian 	幾天	c=1 d=0.918512 t=6947
ji wan 	幾萬	c=1 d=0.826959 t=6947
ji xiao 	績效	c=1 d=0.597501 t=6947
ji xu 	繼續	c=3 d=2.50365 t=6947
ji yi 	記憶	c=11 d=7.1086 t=6947
ji yu 	基於	c=1 d=0.909373 t=6947
ji zhong 	幾種	c=1 d=0.904837 t=6947
ji zhong 	集中	c=1 d=0.985112 t=6947
jia 	加	c=2 d=1.9458 t=6947
jia li ren 	家裏人	c=1 d=0.932394 t=6947
jia mao 	假冒	c=1 d=0.856415 t=6947
jia mi 	加密	c=19 d=10.3886 t=6947
jia mi su du 	加密速度	c=1 d=0.251579 t=6947
jia qiang 	加強	c=4 d=2.45716 t=6947
jia ru 	加入	c=1 d=0.918512 t=6947
jia su 	加速	c=5 d=4.02361 t=6947
jia zai 	加載	c=2 d=1.68325 t=6947
jian 	劍	c=1 d=0.960789 t=6947
jian 	間	c=2 d=0.99005 t=6947
jian bie 	鑑別	c=1 d=0.97531 t=6947
jian ce 	檢測	c=8 d=5.66403 t=6947
jian cha 	檢查	c=1 d=0.740818 t=6947
jian dan 	簡單	c=2 d=1.69792 t=6947
jian jie 	間接	c=1 d=0.806541 t=6947
jian li 	簡歷	c=1 d=0.980199 t=6947
jian lou 	簡陋	c=1 d=0.806541 t=6947
jian qie 	剪切	c=1 d=0.97531 t=6947
jian she 	建設	c=2 d=1.25755 t=6947
jian yi 	建議	c=1 d=0.585669 t=6947
jiang di 	降低	c=1 d=0.980199 t=6947
jiang guo 	講過	c=1 d=0.965605 t=6947
jiang xue jin 	獎學金	c=1 d=0.960789 t=6947
jiao 	教	c=1 d=0.97531 t=6947
jiao ben 	腳本	c=2 d=1.69312 t=6947
jiao huan 	交換	c=2 d=1.4718 t=6947
jiao huan ji 	交換機	c=1 d=0.99005 t=6947
jiao lang 	教狼	c=1 d=0.932394 t=6947
jie 	捷	c=1 d=0.985112 t=6947
jie 	接	c=1 d=0.97531 t=6947
jie duan 	階段	c=7 d=3.87012 t=6947
jie feng 	接縫	c=2 d=1.34091 t=6947
jie gou 	結構	c=2 d=1.57984 t=6947
jie guo 	結果	c=1 d=0.591555 t=6947
jie he 	結合	c=1 d=0.895834 t=6947
jie jia 	解甲	c=1 d=0.99005 t=6947
jie jue 	解決	c=12 d=6.75535 t=6947
jie kou 	接口	c=2 d=1.43155 t=6947
jie mi 	解密	c=4 d=3.91116 t=6947
jie mian 	界面	c=1 d=0.980199 t=6947
jie ru 	介入	c=1 d=0.860708 t=6947
jie ru 	接入	c=1 d=0.865022 t=6947
jie shi 	解釋	c=36 d=20.0769 t=6947
jie shou 	接收	c=1 d=0.771052 t=6947
jie shu 	結束	c=1 d=0.798516 t=6947
jie xi 	解析	c=4 d=3.36214 t=6947
jie xia 	接下	c=1 d=0.873716 t=6947
jie xia lai 	接下來	c=3 d=2.03078 t=6947
jie ya 	解壓	c=1 d=0.826959 t=6947
jin 	進	c=1 d=0.582748 t=6947
jin cheng 	進程	c=1 d=0.748264 t=6947
jin cou 	緊湊	c=3 d=2.10151 t=6947
jin kou 	進口	c=1 d=0.293758 t=6947
jin qu 	進去	c=1 d=0.802519 t=6947
jin ru 	進入	c=7 d=4.05706 t=6947
jin xi 	今夕	c=2 d=1.95581 t=6947
jin xing 	進行	c=1 d=0.782705 t=6947
jin yi bu 	進一步	c=1 d=0.904837 t=6947
jing 	經	c=2 d=0.923116 t=6947
jing gao 	警告	c=2 d=0.909373 t=6947
jing tai 	靜態	c=6 d=5.37831 t=6947
jing xiang 	鏡像	c=7 d=5.23569 t=6947
jiu 	就	c=31 d=8.3763 t=6947
jiu dian 	酒店	c=2 d=1.90771 t=6947
jiu hui 	就會	c=2 d=1.62746 t=6947
jiu neng gou 	就能夠	c=0 d=0.0878095 t=6947
jiu shi 	就是	c=1 d=0.733447 t=6947
jiu yao 	就要	c=1 d=0.822835 t=6947
jiu zheng 	糾正	c=1 d=0.980199 t=6947
ju 	局	c=1 d=0.737123 t=6947
ju bei 	具備	c=1 d=0.923116 t=6947
ju jue 	拒絕	c=1 d=0.960789 t=6947
ju ran 	居然	c=2 d=1.68884 t=6947
ju ti 	具體	c=3 d=2.34169 t=6947
ju you 	具有	c=1 d=0.806541 t=6947
juan zeng 	捐贈	c=1 d=0.97531 t=6947
jue de 	覺得	c=3 d=2.17864 t=6947
jue le 	絕了	c=1 d=0.980199 t=6947
jun 	均	c=1 d=0.66365 t=6947
ka 	卡	c=7 d=5.51457 t=6947
kai 	開	c=1 d=0.70822 t=6947
kai fang 	開放	c=3 d=2.04137 t=6947
kai shi 	開始	c=2 d=1.82843 t=6947
kai te 	凱特	c=1 d=0.818731 t=6947
kai tong 	開通	c=1 d=0.951229 t=6947
kai tou 	開頭	c=1 d=0.913931 t=6947
kai wan xiao 	開玩笑	c=1 d=0.923116 t=6947
kan 	看	c=6 d=3.6586 t=6947
kan dao 	看到	c=2 d=1.89413 t=6947
kan kan 	看看	c=6 d=3.01358 t=6947
kao 	考	c=3 d=2.20011 t=6947
kao gang 	考綱	c=11 d=8.58804 t=6947
kao shi 	考試	c=2 d=1.87603 t=6947
kao yi ji 	考一級	c=1 d=0.960789 t=6947
ke 	可	c=5 d=3.84312 t=6947
ke 	課	c=6 d=4.80464 t=6947
ke ai 	可愛	c=2 d=1.95566 t=6947
ke bian 	可變	c=1 d=0.985112 t=6947
ke hu 	客戶	c=1 d=0.995012 t=6947
ke neng 	可能	c=4 d=3.50292 t=6947
ke shi 	可是	c=3 d=2.47793 t=6947
ke ti 	客體	c=9 d=5.88577 t=6947
ke wu 	可惡	c=3 d=2.65913 t=6947
ke xin 	可信	c=1 d=0.970446 t=6947
ke yi 	可以	c=36 d=10.562 t=6947
ken 	肯	c=1 d=0.900325 t=6947
keng 	坑	c=1 d=0.980199 t=6947
kong jian 	空間	c=2 d=1.17733 t=6947
kong zhi 	控制	c=3 d=1.94483 t=6947
kou 	釦	c=2 d=1.73007 t=6947
ku 	哭	c=2 d=1.87372 t=6947
ku 	庫	c=19 d=8.82774 t=6947
ku 	酷	c=1 d=0.995012 t=6947
ku ku 	苦苦	c=1 d=0.882497 t=6947
ku qi 	哭泣	c=1 d=0.995012 t=6947
kua ke 	夸克	c=3 d=2.97017 t=6947
kuai 	快	c=5 d=3.3933 t=6947
kuai kuai kuai 	快快快	c=1 d=0.704688 t=6947
kuai kuai kuai kuai kuai kuai kuai kuai kuai kuai kuai kuai kuai kuai kuai 	快快快快快快快快快快快快快快快	c=1 d=0.790571 t=6947
kuai le 	快了	c=2 d=1.74745 t=6947
kuai su 	快速	c=3 d=2.60829 t=6947
kuang jia 	框架	c=1 d=0.965605 t=6947
kui le 	虧了	c=1 d=0.704688 t=6947
kuo san 	擴散	c=1 d=1 t=6947
kuo zhan 	擴展	c=1 d=0.806541 t=6947
la qu 	拉取	c=3 d=2.77561 t=6947
lai 	來	c=3 d=2.53369 t=6947
lai shuo ba 	來說吧	c=1 d=1 t=6947
lai zi 	來自	c=1 d=0.946485 t=6947
lan jie 	攔截	c=0 d=0.0980199 t=6947
lang 	狼	c=1 d=0.937067 t=6947
lao shi 	老師	c=6 d=3.5134 t=6947
lao shi 	老是	c=1 d=0.932394 t=6947
lao ye 	老爺	c=1 d=0.97531 t=6947
le 	了	c=103 d=22.4907 t=6947
lei 	累	c=1 d=0.852144 t=6947
lei 	類	c=3 d=1.9099 t=6947
li 	裏	c=5 d=3.43453 t=6947
li kai 	離開	c=2 d=1.94605 t=6947
li lun 	理論	c=3 d=1.69131 t=6947
li xian 	離線	c=1 d=0.995012 t=6947
li yi 	利益	c=3 d=2.82399 t=6947
lia lei 	倆類	c=1 d=0.88692 t=6947
lian dong 	聯動	c=1 d=0.985112 t=6947
lian jie 	連接	c=4 d=2.96049 t=6947
lian jie 	鏈接	c=2 d=1.48925 t=6947
lian lu 	鏈路	c=2 d=1.53231 t=6947
lian wang 	聯網	c=2 d=1.88872 t=6947
lian xiang 	聯想	c=3 d=2.66926 t=6947
lian xu 	連續	c=3 d=1.62197 t=6947
liang 	兩	c=1 d=0.895834 t=6947
liang 	量	c=3 d=2.66069 t=6947
liang ge 	兩個	c=2 d=0.88692 t=6947
liang hua 	量化	c=4 d=2.34234 t=6947
liang se 	亮色	c=1 d=0.946485 t=6947
lie 	列	c=5 d=3.93609 t=6947
lie 	咧	c=1 d=1 t=6947
lie ge 	列個	c=1 d=0.951229 t=6947
ling dao 	領導	c=3 d=1.85662 t=6947
ling dao ceng 	領導層	c=1 d=0.937067 t=6947
ling long 	玲瓏	c=1 d=0.66034 t=6947
ling san 	零散	c=1 d=0.946485 t=6947
ling yi ge 	另一個	c=5 d=3.32849 t=6947
liu 	流	c=8 d=5.04329 t=6947
liu cheng 	流程	c=1 d=0.67032 t=6947
liu liang 	流量	c=3 d=1.61752 t=6947
lou dong 	漏洞	c=3 d=2.87016 t=6947
lou dou 	漏斗	c=1 d=0.960789 t=6947
lu jing 	路徑	c=3 d=2.5233 t=6947
lu you 	路由	c=4 d=3.10748 t=6947
lu you qi 	路由器	c=4 d=3.5629 t=6947
luan 	亂	c=1 d=0.818731 t=6947
lun yi 	輪椅	c=2 d=1.47907 t=6947
ma 	嗎	c=1 d=1 t=6947
ma 	嘛	c=55 d=15.2289 t=6947
ma 	碼	c=1 d=0.99005 t=6947
ma fan 	麻煩	c=2 d=1.83015 t=6947
mai 	買	c=4 d=3.3041 t=6947
mai 	賣	c=1 d=0.891366 t=6947
mai ge 	買個	c=1 d=0.740818 t=6947
mai gei 	賣給	c=1 d=0.99005 t=6947
man 	慢	c=3 d=1.8654 t=6947
man 	滿	c=2 d=1.69058 t=6947
mao 	毛	c=2 d=1.90331 t=6947
mao 	貓	c=4 d=2.57939 t=6947
mao ma 	貓嘛	c=1 d=0.904837 t=6947
mao mao 	貓貓	c=148 d=28.1672 t=6947
mao qiu 	毛球	c=1 d=0.99005 t=6947
me 	麼	c=4 d=3.66058 t=6947
mei 	沒	c=11 d=5.01426 t=6947
mei chi 	沒喫	c=1 d=0.941765 t=6947
mei ci 	每次	c=2 d=1.77989 t=6947
mei diao 	沒掉	c=1 d=0.955997 t=6947
mei fa 	沒法	c=1 d=0.852144 t=6947
mei miao 	每秒	c=3 d=2.78027 t=6947
mei mo 	魅魔	c=1 d=0.995012 t=6947
mei nv 	美女	c=1 d=0.99005 t=6947
mei shi 	沒事	c=4 d=3.03575 t=6947
mei you 	沒有	c=15 d=6.14924 t=6947
men hu 	門戶	c=2 d=1.82612 t=6947
mi feng 	密封	c=2 d=1.3819 t=6947
mi ma 	密碼	c=27 d=8.19845 t=6947
mi mi ma ma 	密密麻麻	c=1 d=0.995012 t=6947
mi wen 	密文	c=2 d=1.18824 t=6947
mi yao 	密鑰	c=13 d=6.74232 t=6947
mian 	麪	c=1 d=0.980199 t=6947
mian fei 	免費	c=2 d=1.88412 t=6947
mian lin 	面臨	c=1 d=0.99005 t=6947
mian mi 	免密	c=1 d=1 t=6947
miao 	喵	c=206 d=36.724 t=6947
miao 	秒	c=3 d=2.77314 t=6947
miao miao 	喵喵	c=42 d=19.1601 t=6947
miao miao miao 	喵喵喵	c=34 d=18.2758 t=6947
miao mo 	描摹	c=0 d=0.0937067 t=6947
miao mo ao 	描摹奧	c=1 d=0.941765 t=6947
min jie 	敏捷	c=1 d=0.980199 t=6947
ming 	名	c=3 d=2.28665 t=6947
ming 	明	c=1 d=0.319819 t=6947
ming 	鳴	c=21 d=15.8215 t=6947
ming ca 	鳴擦	c=1 d=0.960789 t=6947
ming hun 	冥婚	c=0 d=0.0315058 t=6947
ming ling 	命令	c=3 d=2.62843 t=6947
ming ling hang 	命令行	c=1 d=0.97531 t=6947
ming ming 	明明	c=1 d=0.895834 t=6947
ming que 	明確	c=2 d=1.44686 t=6947
ming wei 	名爲	c=1 d=0.814647 t=6947
ming wen 	明文	c=1 d=0.951229 t=6947
mo fa 	魔法	c=1 d=0.995012 t=6947
mo hu 	模糊	c=1 d=0.985112 t=6947
mo mo 	摸摸	c=7 d=4.65335 t=6947
mo ni 	模擬	c=2 d=1.2089 t=6947
mo ni ni 	模擬泥	c=1 d=0.965605 t=6947
mo ni qi 	模擬器	c=1 d=0.99005 t=6947
mo ni ti 	模擬題	c=1 d=0.941765 t=6947
mo ren 	默認	c=4 d=2.63832 t=6947
mo sha 	磨砂	c=1 d=0.995012 t=6947
mo shi 	模式	c=11 d=5.91447 t=6947
mo wei 	末尾	c=1 d=0.932394 t=6947
mo xing 	模型	c=25 d=11.4322 t=6947
mou ge 	某個	c=1 d=0.806541 t=6947
mou mou mou 	某某某	c=1 d=0.951229 t=6947
mu biao 	目標	c=9 d=6.5779 t=6947
mu di 	目的	c=7 d=5.36081 t=6947
mu lu 	目錄	c=2 d=1.76812 t=6947
mu ma 	木馬	c=1 d=0.960789 t=6947
mu tong 	木桶	c=1 d=0.733447 t=6947
na 	吶	c=4 d=3.81101 t=6947
na 	哪	c=1 d=0.882497 t=6947
na 	拿	c=2 d=1.68222 t=6947
na 	那	c=9 d=3.56386 t=6947
na dao 	拿到	c=3 d=1.93942 t=6947
na ge 	哪個	c=19 d=8.71115 t=6947
na ge 	那個	c=1 d=0.955997 t=6947
na jiu 	那就	c=3 d=2.20599 t=6947
na li 	哪裏	c=7 d=4.24489 t=6947
na me 	那麼	c=8 d=4.46652 t=6947
na mi 	納米	c=0 d=0.0980199 t=6947
na mi hao 	納米好	c=1 d=0.985112 t=6947
na qu 	拿去	c=2 d=1.46047 t=6947
na wei 	哪位	c=1 d=0.895834 t=6947
na xie 	哪些	c=5 d=3.81599 t=6947
na zhong 	哪種	c=1 d=0.71177 t=6947
nan 	男	c=1 d=0.918512 t=6947
nan 	難	c=3 d=1.95716 t=6947
nan du 	難度	c=1 d=0.826959 t=6947
ne 	呢	c=8 d=4.97963 t=6947
nei cun 	內存	c=1 d=0.995012 t=6947
nei he 	內核	c=5 d=3.53604 t=6947
nei men 	內門	c=1 d=0.637628 t=6947
nei rong 	內容	c=8 d=3.7042 t=6947
nei she 	內設	c=1 d=0.985112 t=6947
neng 	能	c=7 d=4.73822 t=6947
neng bu neng 	能不能	c=6 d=5.0158 t=6947
neng fou 	能否	c=1 d=0.782705 t=6947
neng gou 	能夠	c=1 d=0.400517 t=6947
neng li 	能力	c=8 d=4.27576 t=6947
neng na 	能拿	c=0 d=0.0690734 t=6947
ni 	你	c=6 d=4.63824 t=6947
ni 	妮	c=1 d=0.995012 t=6947
ni 	泥	c=32 d=12.3071 t=6947
ni de 	你的	c=1 d=0.951229 t=6947
ni ha 	泥哈	c=1 d=1.03736 t=6947
ni ha po 	泥哈破	c=2 d=1.61825 t=6947
ni hao 	你好	c=13 d=7.89682 t=6947
ni hao pei 	你好陪	c=1 d=0.955997 t=6947
ni jiu 	你就	c=1 d=0.937067 t=6947
ni lai 	你來	c=1 d=0.873716 t=6947
ni ma 	你媽	c=1 d=0.995012 t=6947
ni ri 	尼日	c=1 d=0.843665 t=6947
nia 	孃	c=2 d=1.79187 t=6947
nian 	年	c=4 d=2.63249 t=6947
niang 	娘	c=3 d=2.54016 t=6947
nie 	捏	c=2 d=1.87603 t=6947
nie nie 	捏捏	c=1 d=0.937067 t=6947
o 	哦	c=0 d=0.0873716 t=6947
o quan wei 	哦權威	c=1 d=0.878095 t=6947
pa pa pa 	啪啪啪	c=1 d=1 t=6947
pa wa di 	帕瓦蒂	c=1 d=0.718924 t=6947
pai 	派	c=1 d=0.985112 t=6947
pai cha 	排查	c=1 d=0.909373 t=6947
pai cuo 	排錯	c=1 d=0.941765 t=6947
pai hang 	排行	c=1 d=1 t=6947
pan duan 	判斷	c=2 d=1.41567 t=6947
pan duan ti 	判斷題	c=1 d=0.847894 t=6947
pao 	跑	c=3 d=2.67039 t=6947
pao xia 	拋下	c=1 d=0.923116 t=6947
pei 	陪	c=3 d=2.49058 t=6947
pei se 	配色	c=3 d=2.65801 t=6947
pei xun 	培訓	c=2 d=1.90256 t=6947
pei zhi 	配置	c=31 d=13.7312 t=6947
peng zhang 	膨脹	c=1 d=0.97531 t=6947
pi 	批	c=1 d=0.878095 t=6947
pi zhu 	批注	c=1 d=0.740818 t=6947
pian yi 	便宜	c=1 d=0.802519 t=6947
piao yi 	漂移	c=1 d=0.726149 t=6947
pin 	品	c=1 d=0.951229 t=6947
ping 	屏	c=2 d=1.63951 t=6947
ping gu 	評估	c=3 d=1.17131 t=6947
ping shen 	評審	c=1 d=0.562705 t=6947
po 	破	c=0 d=0.0955997 t=6947
po huai 	破壞	c=16 d=7.33577 t=6947
po jie 	破解	c=6 d=3.32689 t=6947
pu 	普	c=2 d=1.75185 t=6947
pu tong 	普通	c=1 d=0.932394 t=6947
qi 	器	c=1 d=0.97531 t=6947
qi 	起	c=1 d=0.951229 t=6947
qi dong 	啓動	c=16 d=8.43933 t=6947
qi fei 	起飛	c=1 d=0.932394 t=6947
qi sha 	七殺	c=1 d=0.955997 t=6947
qi shi 	其實	c=1 d=0.955997 t=6947
qi ta 	其他	c=9 d=4.55606 t=6947
qi xie 	器械	c=1 d=0.856415 t=6947
qi yong 	啓用	c=1 d=0.852144 t=6947
qi zhong 	其中	c=1 d=0.951229 t=6947
qian 	前	c=3 d=2.5153 t=6947
qian ming 	簽名	c=1 d=0.913931 t=6947
qian shou 	牽手	c=1 d=0.937067 t=6947
qian zi 	鉗子	c=1 d=0.985112 t=6947
qiang 	強	c=1 d=0.856415 t=6947
qiang 	搶	c=1 d=0.88692 t=6947
qiang diao 	強調	c=1 d=0.763379 t=6947
qiang jian 	強姦	c=1 d=0.941765 t=6947
qiang zhi 	強制	c=3 d=2.3743 t=6947
qiao gen 	橋根	c=1 d=0.955997 t=6947
qie 	切	c=2 d=1.85086 t=6947
qie huan 	切換	c=6 d=5.80522 t=6947
qing chu 	清除	c=3 d=2.71745 t=6947
qing hua 	清華	c=1 d=0.955997 t=6947
qing kuang 	情況	c=1 d=0.955997 t=6947
qing qiu 	請求	c=2 d=1.76254 t=6947
qing se 	青色	c=1 d=0.798516 t=6947
qing wu qi 	輕武器	c=1 d=1 t=6947
qu 	區	c=3 d=2.4989 t=6947
qu 	去	c=10 d=5.3001 t=6947
qu bie 	區別	c=1 d=0.995012 t=6947
qu chu 	去除	c=1 d=0.814647 t=6947
qu dong 	驅動	c=5 d=3.67219 t=6947
qu yu 	區域	c=1 d=0.955997 t=6947
quan cheng 	全程	c=1 d=0.843665 t=6947
quan qiu 	全球	c=3 d=2.6718 t=6947
quan wei 	權威	c=3 d=2.38805 t=6947
quan xian 	權限	c=5 d=3.18505 t=6947
que dian 	缺點	c=1 d=1 t=6947
qun ou 	羣毆	c=1 d=0.913931 t=6947
ran 	蚺	c=3 d=2.85023 t=6947
ran hou 	然後	c=3 d=2.29262 t=6947
rao guo 	繞過	c=1 d=1 t=6947
ren 	人	c=6 d=4.5958 t=6947
ren li 	人力	c=2 d=1.32665 t=6947
ren qi 	任期	c=1 d=0.524663 t=6947
ren wu 	任務	c=1 d=0.97531 t=6947
ren wu guan li qi 	任務管理器	c=1 d=1 t=6947
ren yuan 	人員	c=2 d=0.809907 t=6947
ren zheng 	認証	c=1 d=0.272532 t=6947
ri zhi 	日誌	c=2 d=0.918512 t=6947
rong jie 	溶解	c=0 d=0.178787 t=6947
rong jie chan sheng 	溶解產生	c=1 d=0.923116 t=6947
rong jie da sai 	溶解大賽	c=2 d=1.90722 t=6947
rong yi 	容易	c=1 d=0.759572 t=6947
rong zi 	融資	c=0 d=0.0927743 t=6947
rong zi xin xi 	融資信息	c=1 d=0.932394 t=6947
rou ji 	肉雞	c=0 d=0.0960789 t=6947
rou ji e 	肉雞餓	c=2 d=1.93605 t=6947
rou ji e xi tong mai gei 	肉雞餓系統賣給	c=1 d=0.882497 t=6947
rou rou 	揉揉	c=1 d=0.932394 t=6947
ru 	入	c=1 d=0.965605 t=6947
ru guo 	如果	c=2 d=1.74501 t=6947
ru he 	如何	c=39 d=11.8496 t=6947
ru he zuo 	如何做	c=3 d=2.30481 t=6947
ru qin 	入侵	c=3 d=2.67537 t=6947
ru qin jian ce 	入侵檢測	c=1 d=0.937067 t=6947
ruan 	軟	c=1 d=0.97531 t=6947
ruan jian 	軟件	c=10 d=3.91731 t=6947
rui jie 	銳接	c=1 d=0.826959 t=6947
sa 	撒	c=2 d=1.92711 t=6947
sa la ding 	薩拉丁	c=0 d=0.0869358 t=6947
sa la ding ji ou 	薩拉丁奇偶	c=1 d=0.873716 t=6947
sa xian 	撒線	c=1 d=0.878095 t=6947
sai 	塞	c=1 d=0.980199 t=6947
sai 	賽	c=3 d=2.4404 t=6947
san 	三	c=2 d=1.67073 t=6947
san chong 	三重	c=1 d=0.946485 t=6947
san dao 	三道	c=1 d=0.960789 t=6947
sao 	掃	c=2 d=1.78164 t=6947
sao chu 	掃出	c=1 d=0.88692 t=6947
sao miao 	掃描	c=9 d=4.41494 t=6947
se 	色	c=3 d=2.82297 t=6947
shan chu 	刪除	c=5 d=3.48106 t=6947
shan gang 	山崗	c=1 d=0.913931 t=6947
shan shuo 	閃爍	c=4 d=2.80502 t=6947
shan tui 	閃退	c=1 d=0.882497 t=6947
shang 	上	c=28 d=9.53922 t=6947
shang dian 	商店	c=5 d=2.96173 t=6947
shang jia 	商家	c=2 d=1.80175 t=6947
shang mian 	上面	c=2 d=1.89319 t=6947
shang qu 	上去	c=1 d=0.946485 t=6947
shang yong 	商用	c=1 d=0.748264 t=6947
shao 	少	c=2 d=1.68247 t=6947
she bei 	設備	c=10 d=3.50017 t=6947
she hui 	社會	c=3 d=2.77734 t=6947
she ji 	涉及	c=1 d=0.453845 t=6947
she ji 	設計	c=1 d=0.900325 t=6947
she ji shi 	設計師	c=1 d=0.97531 t=6947
she me 	什麼	c=96 d=22.8539 t=6947
she qu 	社區	c=1 d=0.932394 t=6947
she shi 	設施	c=1 d=0.985112 t=6947
she you 	舍友	c=3 d=2.14753 t=6947
she zhi 	設置	c=11 d=5.74132 t=6947
shen fen 	身份	c=2 d=1.98012 t=6947
shen ji 	審計	c=3 d=1.1267 t=6947
shen jing 	神經	c=1 d=0.923116 t=6947
shen tou 	滲透	c=3 d=2.06152 t=6947
sheng 	生	c=1 d=0.900325 t=6947
sheng 	省	c=1 d=0.97531 t=6947
sheng ben 	升本	c=1 d=0.960789 t=6947
sheng wu 	生物	c=1 d=0.904837 t=6947
sheng xiao 	生效	c=3 d=2.51361 t=6947
sheng xue 	升學	c=2 d=1.67513 t=6947
shi 	事	c=2 d=1.24743 t=6947
shi 	是	c=135 d=24.1023 t=6947
shi 	時	c=2 d=1.79391 t=6947
shi bai 	失敗	c=7 d=4.38733 t=6947
shi bu shi 	是不是	c=5 d=3.65425 t=6947
shi cao 	實操	c=5 d=3.03919 t=6947
shi du 	適度	c=1 d=0.860708 t=6947
shi duo shao a 	是多少啊	c=1 d=0.831104 t=6947
shi fou 	是否	c=4 d=3.46892 t=6947
shi he 	適合	c=2 d=1.68338 t=6947
shi hou 	時候	c=2 d=1.79165 t=6947
shi ji wan 	十幾萬	c=1 d=0.831104 t=6947
shi jian 	事件	c=3 d=1.90257 t=6947
shi jian 	時間	c=3 d=2.19641 t=6947
shi jie 	世界	c=3 d=2.72294 t=6947
shi lian 	失戀	c=1 d=0.909373 t=6947
shi pin 	視頻	c=5 d=4.36008 t=6947
shi shi 	實施	c=1 d=0.308819 t=6947
shi shi 	實時	c=1 d=0.891366 t=6947
shi shi 	試試	c=2 d=1.58313 t=6947
shi ti 	實體	c=3 d=2.78977 t=6947
shi xi 	實習	c=1 d=0.995012 t=6947
shi xian 	實現	c=3 d=2.23304 t=6947
shi yo ji neng 	是喲技能	c=1 d=0.985112 t=6947
